,auth_first,auth_last,book_id,category,gender,publ_date,race,title,textlength
1,Henry,James,37,w,M,1880,Caucasian,Confidence,421876
2,Henry,James,38,w,M,1880,Caucasian,A bundle of letters,75674
3,Henry,James,39,w,M,1880,Caucasian,The diary of a man of fifty,64615
4,William Dean,Howells,80,w,M,1881,Caucasian,A modern instance,843425
5,William Dean,Howells,83,w,M,1881,Caucasian,A chance acquaintance,336326
6,Henry,James,86,w,M,1881,Caucasian,The portrait of a lady,656822
7,Mark,Twain,107,w,M,1881,Caucasian,The prince and the pauper,387930
8,Henry,James,130,w,M,1882,Caucasian,Roderick Hudson,739712
9,Joel Chandler,Harris,183,w,M,1883,Caucasian,Nights with Uncle Remus,564470
10,Edward,Bellamy,221,w,M,1884,Caucasian,Miss Ludington's sister,237280
11,Joel Chandler,Harris,241,w,M,1884,Caucasian,Mingo,250651
12,Bret,Harte,243,w,M,1884,Caucasian,In the Carquinez woods,217975
13,Bret,Harte,244,w,M,1884,Caucasian,On the frontier,254276
14,Sarah Orne,Jewett,253,w,F,1884,Caucasian,A country doctor,784297
15,Bret,Harte,309,w,M,1885,Caucasian,By shore and sedge,235457
16,Bret,Harte,310,w,M,1885,Caucasian,Maruja,241455
17,Henry,James,381,w,M,1886,Caucasian,The Bostonians (BOOK II),457504
19,Bret,Harte,449,w,M,1887,Caucasian,The crusade of the Excelsior,420083
20,Bret,Harte,450,w,M,1887,Caucasian,Sally Dows,327911
22,Bret,Harte,515,w,M,1888,Caucasian,The Argonauts of North Liberty,190089
23,William Dean,Howells,521,w,M,1888,Caucasian,Annie Kilburn,440475
24,Henry,James,524,w,M,1888,Caucasian,The Aspern papers,207895
25,Bret,Harte,606,w,M,1889,Caucasian,Cressy,317586
26,Kate,Chopin,671,w,F,1890,Caucasian,At fault,324798
28,Bret,Harte,698,w,M,1890,Caucasian,A ward of the Golden Gate,273647
29,Bret,Harte,699,w,M,1890,Caucasian,A waif of the plains,206481
30,Henry,James,711,w,M,1890,Caucasian,The tragic muse,1150338
31,Sarah Orne,Jewett,714,w,F,1890,Caucasian,Strangers and wayfarers,309920
33,Bret,Harte,790,w,M,1891,Caucasian,A first family of Tasajara,330842
34,William Dean,Howells,792,w,M,1891,Caucasian,The quality of mercy,636972
35,Emma Dunham,Kelley,797,b,F,1891,Black,Megda,461895
38,Hamlin,Garland,877,w,M,1892,Caucasian,A spoil of office,415305
39,Hamlin,Garland,879,w,M,1892,Caucasian,A little Norsk: or: Ol' pap's Flaxen,140786
40,Frances Ellen Watkins,Harper,894,b,F,1892,Black,Iola Leroy: or: Shadows uplifted,418459
41,Henry,James,901,w,M,1892,Caucasian,Daisy Miller,122747
42,Henry,James,902,w,M,1892,Caucasian,The lesson of the master,138378
43,Mark,Twain,930,w,M,1892,Caucasian,The American claimant,358918
44,Bret,Harte,980,w,M,1893,Caucasian,Susy: a story of the plains,288986
45,William Dean,Howells,986,w,M,1893,Caucasian,The coast of Bohemia,382572
46,Joel Chandler,Harris,1085,w,M,1894,Caucasian,Little Mr. Thimblefinger and his queer country,232522
47,William Dean,Howells,1089,w,M,1894,Caucasian,A traveler from Altruria,357306
49,Mark,Twain,1130,w,M,1894,Caucasian,Tom Sawyer abroad,173456
50,Mark,Twain,1131,w,M,1894,Caucasian,The tragedy of Pudd'nhead Wilson,295947
51,Stephen,Crane,1161,w,M,1895,Caucasian,The red badge of courage,260352
52,Henry Blake,Fuller,1176,w,M,1895,Caucasian,With the procession,496786
53,Hamlin,Garland,1177,w,M,1895,Caucasian,Rose of Dutcher's Coolly,477503
54,Bret,Harte,1185,w,M,1895,Caucasian,In a hollow of the hills,222853
55,Bret,Harte,1186,w,M,1895,Caucasian,Clarence,292785
56,William Dean,Howells,1192,w,M,1895,Caucasian,Their wedding journey,416580
57,Sarah Orne,Jewett,1196,w,F,1895,Caucasian,The life of Nancy,371300
58,Stephen,Crane,1273,w,M,1896,Caucasian,The Little Regiment: and other episodes of the American Civil War,170826
59,Mary Eleanor Wilkins,Freeman,1291,w,F,1896,Caucasian,Madelon,459187
60,Henry,James,1312,w,M,1896,Caucasian,Embarrassments,335018
61,Sarah Orne,Jewett,1315,w,F,1896,Caucasian,The country of the pointed firs,227496
62,Mark,Twain,1362,w,M,1896,Caucasian,Personal recollections of Joan of Arc,427902
63,Owen,Wister,1366,w,M,1896,Caucasian,Red men and white,446118
65,Edward,Bellamy,1384,w,M,1897,Caucasian,Equality,894990
66,Stephen,Crane,1415,w,M,1897,Caucasian,The third violet,178190
67,Mary Eleanor Wilkins,Freeman,1437,w,F,1897,Caucasian,Jerome: a poor man,761451
69,Henry,James,1457,w,M,1897,Caucasian,What Maisie knew,523272
71,Paul Laurence,Dunbar,1563,b,M,1898,Black,Folks from Dixie,265962
72,Paul Laurence,Dunbar,1564,b,M,1898,Black,The uncalled,288961
73,Hamlin,Garland,1579,w,M,1898,Caucasian,The spirit of Sweetwater,81136
74,Henry,James,1601,w,M,1898,Caucasian,In the cage,195446
75,Frank,Norris,1629,w,M,1898,Caucasian,Moran of the Lady Letty,249804
76,Owen,Wister,1666,w,M,1898,Caucasian,Lin McLean,398218
77,Mary Eleanor Wilkins,Freeman,1725,w,F,1899,Caucasian,The Jamesons,156728
78,Hamlin,Garland,1729,w,M,1899,Caucasian,The trail of the goldseekers,306812
79,Sutton Elbert,Griggs,1734,b,M,1899,Black,Imperium in imperio,300759
80,William Dean,Howells,1752,w,M,1899,Caucasian,Their silver wedding journey,832024
81,Henry,James,1757,w,M,1899,Caucasian,The awkward age,765108
82,Frank,Norris,1785,w,M,1899,Caucasian,McTeague,641931
83,Frank,Norris,1786,w,M,1899,Caucasian,Blix,291338
84,Edith,Wharton,1828,w,F,1899,Caucasian,The greater inclination,300141
85,Edward,Bellamy,1850,w,M,1900,Caucasian,The duke of Stockbridge,589505
86,Theodore,Dreiser,1884,w,M,1900,Caucasian,Sister Carrie,865647
87,Paul Laurence,Dunbar,1886,b,M,1900,Black,The love of Landry,149721
88,Booth,Tarkington,2010,w,M,1900,Caucasian,Monsieur Beaucaire,72472
89,Charles W.,Chesnutt,2050,b,M,1901,Black,The marrow of tradition,501718
90,Paul Laurence,Dunbar,2064,b,M,1901,Black,The fanatics,376686
91,Mary Eleanor Wilkins,Freeman,2076,w,F,1901,Caucasian,The portion of labor,903211
92,Henry Blake,Fuller,2080,w,M,1901,Caucasian,Under the skylights,416701
93,Bret,Harte,2092,w,M,1901,Caucasian,Under the redwoods,364976
94,Henry,James,2099,w,M,1901,Caucasian,The sacred fount,416492
95,Upton,Sinclair,2152,w,M,1901,Caucasian,King Midas,551566
96,Paul Laurence,Dunbar,2202,b,M,1902,Black,The sport of the gods,218735
97,Hamlin,Garland,2217,w,M,1902,Caucasian,The captain of the Gray-horse troop,586235
98,Sutton Elbert,Griggs,2219,b,M,1902,Black,Unfettered,343393
99,Bret,Harte,2225,w,M,1902,Caucasian,Openings in the old trail,355833
100,William Dean,Howells,2234,w,M,1902,Caucasian,The Kentons,423247
101,Henry,James,2238,w,M,1902,Caucasian,The wings of the dove (BOOK 6 to End),580611
102,Jack,London,2256,w,M,1902,Caucasian,Children of the frost,272740
103,Booth,Tarkington,2294,w,M,1902,Caucasian,The two Vanrevels,349614
104,Edith,Wharton,2304,w,F,1902,Caucasian,The valley of decision,880621
105,Owen,Wister,2309,w,M,1902,Caucasian,The Virginian,711482
106,Owen,Wister,2310,w,M,1902,Caucasian,The dragon of Wantley,170383
107,Paul Laurence,Dunbar,2346,b,M,1903,Black,In old plantation days,332214
108,Jack,London,2385,w,M,1903,Caucasian,The call of the wild,175350
109,Upton,Sinclair,2419,w,M,1903,Caucasian,The journal of Arthur Stirling,396686
110,Edith,Wharton,2437,w,F,1903,Caucasian,Sanctuary,151370
111,Owen,Wister,2444,w,M,1903,Caucasian,Philosophy 4,65320
112,Paul Laurence,Dunbar,2475,b,M,1904,Black,The heart of Happy Hollow,240485
113,Hamlin,Garland,2482,w,M,1904,Caucasian,The light of the star,244266
114,Henry,James,2499,w,M,1904,Caucasian,The golden bowl,1155816
115,Edward A.,Johnson,2500,b,M,1904,Black,Light ahead for the Negro,167398
116,Charles W.,Chesnutt,2593,b,M,1905,Black,The colonel's dream,488921
117,Hamlin,Garland,2612,w,M,1905,Caucasian,The tyranny of the dark,587848
120,Sutton E.,Griggs,2619,b,M,1905,Black,The hindered hand: or: The reign of the repressionist,419688
121,Booth,Tarkington,2691,w,M,1905,Caucasian,The conquest of Canaan,464722
122,Booth,Tarkington,2692,w,M,1905,Caucasian,The beautiful lady,89781
123,Mary Eleanor Wilkins,Freeman,2753,w,F,1906,Caucasian,By the light of the soul,830898
127,Bret,Harte,2767,w,M,1906,Caucasian,Drift from two shores,324889
128,Jack,London,2786,w,M,1906,Caucasian,Before Adam,210469
129,Owen,Wister,2837,w,M,1906,Caucasian,Lady Baltimore,527165
130,Ambrose,Bierce,2846,w,M,1907,Caucasian,A son of the gods : and: A horseman in the sky,28767
131,William Dean,Howells,2888,w,M,1907,Caucasian,Through the eye of the needle,369409
132,William Dean,Howells,2889,w,M,1907,Caucasian,Between the dark and the daylight,276309
133,William Dean,Howells,2890,w,M,1907,Caucasian,The lady of the Aroostook,417919
134,Booth,Tarkington,2936,w,M,1907,Caucasian,His own people,93844
136,Edith,Wharton,2948,w,F,1907,Caucasian,The fruit of the tree,815703
137,Edith,Wharton,2949,w,F,1907,Caucasian,Madame de Treymes,108468
138,Owen,Wister,2955,w,M,1907,Caucasian,How doth the simple spelling bee,58982
139,Mary Eleanor Wilkins,Freeman,2988,w,F,1908,Caucasian,The shoulders of Atlas,423951
140,Sutton Elbert,Griggs,2994,b,M,1908,Black,Pointing the way,292244
141,William Dean,Howells,3006,w,M,1908,Caucasian,Christmas every day,99035
142,Jack,London,3019,w,M,1908,Caucasian,Martin Eden,776367
143,Booth,Tarkington,3054,w,M,1908,Caucasian,The guest of Quesnay,340908
145,Hamlin,Garland,3106,w,M,1909,Caucasian,The Moccasin Ranch,98712
146,Mark,Twain,3180,w,M,1909,Caucasian,Captain Stormfield's visit to heaven,80861
147,Mary Eleanor Wilkins,Freeman,3230,w,F,1910,Caucasian,The green door,50939
148,Henry,James,3255,w,M,1910,Caucasian,The finer grain,304235
149,Jack,London,3269,w,M,1910,Caucasian,Burning Daylight,630341
150,Jack,London,3270,w,M,1910,Caucasian,Lost Face,224036
151,Upton,Sinclair,3305,w,M,1910,Caucasian,Samuel the seeker,345376
152,Robert Lewis,Waring,3317,b,M,1910,Black,As we see it,398288
153,Theodore,Dreiser,3352,w,M,1911,Caucasian,Jennie Gerhardt,721363
154,Jack,London,3381,w,M,1911,Caucasian,Adventure,399741
155,Jack,London,3382,w,M,1911,Caucasian,The strength of the strong,263715
156,Edith,Wharton,3439,w,F,1911,Caucasian,Ethan Frome,188391
157,Owen,Wister,3444,w,M,1911,Caucasian,Padre Ignacio: or: The song of temptation,53190
