title,author_first,author_last,genre,gender,sample_group,score,labeled_points,highlight
The living,Annie,Dillard,white,female,KJV_align,-0.886827959,,no
Not without laughter,Langston,Hughes,black,male,KJV_align,-0.628989858,,no
Megda,Emma Dunham,Kelley,black,female,KJV_align,-0.583941883,Megda,yes
Bellefleur,Joyce Carol,Oates,white,female,KJV_align,-0.50327439,,no
The rainbow,D. H.,Lawrence,white,male,KJV_align,-0.492127174,,no
The stoic,Theodore,Dreiser,white,male,KJV_align,-0.436892102,,no
Finding a way out,Robert Russa,Moton,black,male,KJV_align,-0.385261793,,no
Giovanni's room,James,Baldwin,black,male,KJV_align,-0.385261793,,no
The recognitions,William,Gaddis,white,male,KJV_align,-0.342756243,,no
Kelly Miller's history of the World War for human rights,Kelly,Miller,black,male,random,-0.330450968,,no
The vulture,Gil,Scott-Heron,black,male,random,-0.330450968,,no
Of love and dust,Ernest J.,Gaines,black,male,random,-0.330450968,,no
Red lightning,Hugh,Holton,black,male,random,-0.330450968,,no
The executioner's song,Norman,Mailer,white,male,KJV_align,-0.297304948,,no
Gain,Richard,Powers,white,male,KJV_align,-0.297304948,,no
Three lives : The good Anna: Melanctha: The gentle Lena,Gertrude,Stein,white,female,random,-0.295221915,,no
Travels with Charley,John,Steinbeck,white,male,KJV_align,-0.281479601,,no
The orchard keeper,Cormac,McCarthy,white,male,KJV_align,-0.281479601,,no
The rise of David Levinsky,Abraham,Cahan,white,male,KJV_align,-0.239035938,,no
Herzog,Saul,Bellow,white,male,KJV_align,-0.239035938,Herzog,yes
The portion of labor,Mary Eleanor Wilkins,Freeman,white,female,KJV_align,-0.233451434,,no
A Bloodsmoor romance,Joyce Carol,Oates,white,female,KJV_align,-0.233451434,,no
My great: wide: beautiful world,Juanita,Harrison,black,female,random,-0.225866093,,no
Adulthood rites,Octavia E,Butler,black,female,random,-0.225866093,,no
Dessa Rose,Sherley Anne,Williams,black,female,random,-0.225866093,,no
The between,Tananarive,Due,black,female,random,-0.225866093,,no
Galapagos,Kurt,Vonnegut,white,male,KJV_align,-0.219479773,,no
Falconer,John,Cheever,white,male,random,-0.196995427,,no
Pale fire,Vladimir Vladimirovich,Nabokov,white,male,random,-0.196995427,,no
Sally Dows,Bret,Harte,white,male,random,-0.196995427,,no
The mysterious stranger,Mark,Twain,white,male,random,-0.196995427,,no
In old plantation days,Paul Laurence,Dunbar,black,male,KJV_align,-0.19479034,,no
Black no more,George S.,Schuyler,black,male,KJV_align,-0.19479034,,no
Equality,Edward,Bellamy,white,male,KJV_align,-0.158221104,,no
The sun also rises,Ernest,Hemingway,white,male,KJV_align,-0.131060496,,no
Time of the assassins,Hugh,Holton,black,male,random,-0.130011779,,no
The Jones men,Vern E,Smith,black,male,random,-0.130011779,,no
Light ahead for the Negro,Edward A.,Johnson,black,male,random,-0.130011779,,no
The seven league boots,Albert,Murray,black,male,random,-0.130011779,,no
It can't happen here,Sinclair,Lewis,white,male,KJV_align,-0.066638801,,no
For whom the bell tolls,Ernest,Hemingway,white,male,KJV_align,-0.066638801,,no
Jonah's gourd vine,Zora Neale,Hurston,black,female,KJV_align,-0.031914948,,no
Lady Baltimore,Owen,Wister,white,male,KJV_align,-0.028446048,,no
Jennie Gerhardt,Theodore,Dreiser,white,male,KJV_align,-0.028446048,,no
Rise of Silas Lapham,William Dean,Howells,white,male,KJV_align,-0.028446048,,no
All the king's men,Robert Penn,Warren,white,male,KJV_align,-0.028446048,,no
Visions of Gerard,Jack,Kerouac,white,male,KJV_align,-0.028446048,,no
The good Negress,A. J.,Verdelle,black,female,KJV_align,-0.003206025,,no
Unfettered,Sutton Elbert,Griggs,black,male,KJV_align,0.027245721,,no
The violent bear it away,Flannery,O'Connor,white,female,random,0.034190716,,no
The Jamesons,Mary Eleanor Wilkins,Freeman,white,female,random,0.034190716,,no
Everything you know,Zo,Heller,white,female,random,0.034190716,,no
My mortal enemy,Willa,Cather,white,female,random,0.034190716,,no
Look homeward: angel,Thomas,Wolfe,white,male,KJV_align,0.039145425,,no
The old man and the sea,Ernest,Hemingway,white,male,KJV_align,0.039145425,,no
Nexus,Henry,Miller,white,male,KJV_align,0.039145425,,no
Killing Mister Watson,Peter,Matthiessen,white,male,KJV_align,0.039145425,,no
Sally Hemings,Barbara,Chase-Riboud,black,female,random,0.076488412,,no
The salt eaters,Toni Cade,Bambara,black,female,random,0.076488412,,no
Patternmaster,Octavia E,Butler,black,female,random,0.076488412,,no
Corregidora,Gayl,Jones,black,female,random,0.076488412,,no
All-Bright Court,Connie Rose,Porter,black,female,random,0.076488412,,no
Accordion crimes,Annie,Proulx,white,female,KJV_align,0.090391184,,no
The hours,Michael,Cunningham,white,male,random,0.094264924,,no
Sister Carrie,Theodore,Dreiser,white,male,random,0.094264924,,no
Welcome to Hard Times,E. L.,Doctorow,white,male,random,0.094264924,,no
Children of the market place,Edgar Lee,Masters,white,male,random,0.094264924,,no
In the arena,Booth,Tarkington,white,male,random,0.094264924,,no
Three famous short novels,William,Faulkner,white,male,random,0.094264924,,no
Across the river and into the trees,Ernest,Hemingway,white,male,random,0.094264924,,no
Look at the harlequins!,Vladimir Vladimirovich,Nabokov,white,male,random,0.094264924,,no
The spirit of Sweetwater,Hamlin,Garland,white,male,random,0.094264924,,no
The witches of Eastwick,John,Updike,white,male,random,0.094264924,,no
Padre Ignacio: or: The song of temptation,Owen,Wister,white,male,random,0.094264924,,no
The eye,Vladimir Vladimirovich,Nabokov,white,male,random,0.094264924,,no
Smoke Bellew,Jack,London,white,male,random,0.094264924,,no
Jimmie Higgins,Upton,Sinclair,white,male,random,0.094264924,,no
The strength of the strong,Jack,London,white,male,random,0.094264924,,no
The beetle leg,John,Hawkes,white,male,random,0.094264924,,no
Deception,Philip,Roth,white,male,random,0.094264924,,no
The Titan,Theodore,Dreiser,white,male,random,0.094264924,,no
Under the redwoods,Bret,Harte,white,male,random,0.094264924,,no
The big sleep,Raymond,Chandler,white,male,random,0.094264924,,no
The beautiful lady,Booth,Tarkington,white,male,random,0.094264924,,no
Doctor Sax,Jack,Kerouac,white,male,random,0.094264924,,no
The Kentons,William Dean,Howells,white,male,random,0.094264924,,no
The trail of the goldseekers,Hamlin,Garland,white,male,random,0.094264924,,no
Last laugh: Mr. Moto,John P.,Marquand,white,male,random,0.094264924,,no
The Virginian,Owen,Wister,white,male,random,0.094264924,,no
