"title","race","gender","bible","score"
"Megda","black","female","no",-0.583941849970448
"Iola Leroy: or: Shadows uplifted","black","female","no",0.274103434526918
"The uncalled","black","male","no",0.390524647512982
"Unfettered","black","male","no",0.0272457328626624
"In old plantation days","black","male","no",-0.194790283977711
"The colonel's dream","black","male","no",0.612227712450341
"As we see it","black","male","no",0.748676535437363
"Finding a way out","black","male","no",-0.385261729158055
"Not without laughter","black","male","no",-0.628989783393096
"Black no more","black","male","no",-0.194790283977711
"Jonah's gourd vine","black","female","no",-0.0319149258225597
"Native son","black","male","no",0.130797679977126
"Go tell it on the mountain","black","male","no",0.204588532776405
"Giovanni's room","black","male","no",-0.385261729158055
"Tambourines to glory","black","male","no",1.59130676484965
"Brown girl: brownstones","black","female","no",0.358162962207332
"This child's gonna live","black","female","no",1.1825802785999
"The bluest eye","black","female","no",0.274103434526918
"The crazy kill","black","male","no",0.188242466558115
"The Chaneysville incident","black","male","no",0.123299966353296
"High cotton","black","male","no",0.390524647512982
"The good Negress","black","female","no",-0.00320597705816761
"Inner city blues","black","female","no",0.223648268085857
"Passing by Samaria","black","female","no",0.907658869324781
"Folks from Dixie","black","male","no",1.1182046472229
"The fanatics","black","male","no",0.833513606880161
"The heart of Happy Hollow","black","male","no",0.692309928165451
"The hindered hand: or: The reign of the repressionist","black","male","no",0.656913255610847
"The autobiography of an ex-colored man","black","male","no",0.692309928165451
"Quicksand","black","female","no",0.7813058018401
"The chinaberry tree","black","female","no",1.03059743649567
"Their eyes were watching God","black","female","no",0.358162962207332
"Moses: man of the mountain","black","female","no",0.7813058018401
"Long George Alley","black","male","no",1.60355011679439
"The big gold dream","black","male","no",1.50025176057109
"Faith and the good thing","black","male","no",0.457447888734199
"Song of Solomon","black","female","no",0.358162962207332
"Tragic magic","black","male","no",0.692309928165451
"Kindred","black","female","no",0.827617226704796
"Tar baby","black","female","no",1.22015054366065
"Giri","black","male","no",0.457447888734199
"Sarah Phillips","black","female","no",1.33291512423115
"The upper room","black","female","no",1.33291512423115
"My amputations","black","male","no",0.748676535437363
"Beloved","black","female","no",1.03059743649567
"The Avenue: Clayton City","black","male","no",1.41464924651909
"Voodoo dreams","black","female","no",1.17326449865362
"Breath: eyes: memory","black","female","no",1.03059743649567
"And all our wounds forgiven","black","male","no",1.1182046472229
"Coffee will make you black","black","female","no",0.973116349952666
"Red men and white","white","male","no",0.204433587916662
"Equality","white","male","no",-0.15822105782384
"Lin McLean","white","male","no",0.31881965788365
"The portion of labor","white","female","no",-0.233451374559087
"King Midas","white","male","no",0.16454253718233
"Openings in the old trail","white","male","no",0.31881965788365
